blockname,0
户数增加,"['000422', '000792', '000837', '002075', '002176', '002242', '002248', '002335', '002350', '002442', '002455', '002487', '002511', '002520', '002559', '002580', '002599', '002601', '002614', '002667', '002706', '002738', '002747', '002759', '002760', '002833', '002847', '002928', '300011', '300032', '300035', '300040', '300083', '300084', '300105', '300125', '300153', '300159', '300161', '300174', '300207', '300241', '300264', '300275', '300277', '300329', '300335', '300366', '300390', '300471', '300482', '300502', '300505', '300510', '300540', '300604', '300616', '300631', '300642', '300648', '300671', '300688', '300712', '300755', '300763', '300772', '600096', '600160', '600163', '600218', '600243', '600348', '600418', '600444', '600470', '600596', '600683', '600691', '600746', '600773', '600777', '600958', '601126', '601139', '601222', '601678', '601882', '603020', '603077', '603260', '603318', '603330', '603477', '603536', '603555', '603806', '603938', '688016', '688277', '688339']"
扣非亏损,"['000017', '000032', '000066', '000089', '000416', '000421', '000521', '000561', '000605', '000615', '000736', '000767', '000793', '000815', '000882', '000886', '000908', '000911', '000929', '002031', '002047', '002074', '002163', '002169', '002178', '002197', '002217', '002229', '002251', '002278', '002313', '002325', '002329', '002350', '002385', '002403', '002419', '002426', '002428', '002432', '002433', '002466', '002486', '002488', '002491', '002514', '002524', '002562', '002570', '002571', '002582', '002587', '002589', '002590', '002622', '002633', '002650', '002653', '002669', '002671', '002691', '002708', '002715', '002716', '002725', '002750', '002751', '002806', '002816', '002823', '002840', '002857', '002862', '002885', '002900', '002933', '002943', '300006', '300017', '300027', '300065', '300081', '300094', '300098', '300111', '300118', '300123', '300147', '300163', '300164', '300165', '300170', '300222', '300252', '300266', '300273', '300301', '300317', '300323', '300328', '300397', '300399', '300419', '300437', '300444', '300456', '300462', '300478', '300510', '300525', '300527', '300533', '300557', '300609', '300658', '300659', '300681', '300935', '300937', '600027', '600054', '600066', '600067', '600119', '600136', '600138', '600150', '600166', '600187', '600200', '600202', '600279', '600280', '600310', '600320', '600358', '600418', '600469', '600526', '600561', '600571', '600588', '600626', '600661', '600676', '600685', '600689', '600698', '600708', '600730', '600743', '600754', '600767', '600768', '600775', '600795', '600796', '600812', '600818', '600836', '600839', '600881', '600889', '600959', '600962', '600981', '601007', '601068', '601258', '601366', '601718', '601989', '603029', '603042', '603056', '603106', '603221', '603322', '603528', '603615', '603665', '603711', '603716', '603737', '603777', '603779', '603869', '603888', '688003', '688011', '688095', '688126', '688228', '688313', '688336', '688488', '688557', '688600', '688737']"
投资时钟,"['000002', '000060', '000338', '000423', '000425', '000428', '000430', '000524', '000538', '000568', '000581', '000610', '000625', '000630', '000651', '000652', '000688', '000721', '000729', '000796', '000858', '000878', '000888', '000895', '000898', '000937', '000951', '000970', '000978', '000983', '002024', '002033', '002059', '002103', '002155', '002159', '002186', '002304', '002385', '002558', '002646', '300043', '300144', '600016', '600036', '600048', '600054', '600066', '600104', '600108', '600111', '600123', '600138', '600188', '600197', '600199', '600258', '600276', '600332', '600348', '600362', '600395', '600415', '600489', '600519', '600546', '600547', '600559', '600583', '600600', '600640', '600660', '600690', '600694', '600730', '600741', '600754', '600809', '600887', '600971', '600997', '601001', '601007', '601088', '601101', '601168', '601600', '601666', '601699', '601766', '601808', '601857', '601888', '601898', '601899', '601933', '601958', '601989', '603136', '603199']"
抗流感,"['000078', '000518', '000597', '000661', '000739', '002007', '002022', '002030', '002099', '002107', '002166', '002252', '002275', '002317', '002326', '002411', '002435', '002584', '002603', '002737', '300026', '300039', '300086', '300142', '300147', '300158', '300434', '300501', '300519', '600196', '600200', '600216', '600222', '600226', '600267', '600332', '600351', '600466', '600513', '600518', '600613', '600673', '600739', '600789', '600812', '600829', '600976', '601607', '603567', '603880', '605199', '688166', '688180', '688189', '688298', '688317', '688399']"
抗癌,"['000028', '000078', '000518', '000566', '000766', '000788', '000790', '000919', '000999', '002004', '002038', '002275', '002422', '002437', '002550', '002690', '300006', '300009', '300108', '300122', '300142', '300147', '300158', '300436', '300558', '600064', '600079', '600129', '600196', '600200', '600216', '600252', '600267', '600276', '600329', '600422', '600436', '600535', '600568', '600594', '600664', '600812', '600826', '600851', '600881', '601607', '603998', '688266', '688550', '688578', '688687']"
拟减持,"['000004', '000036', '000403', '000408', '000428', '000498', '000558', '000560', '000592', '000626', '000685', '000695', '000710', '000868', '000889', '000893', '000950', '000969', '000971', '000980', '000995', '002013', '002021', '002036', '002086', '002093', '002095', '002101', '002121', '002138', '002141', '002151', '002162', '002165', '002174', '002191', '002194', '002201', '002202', '002212', '002233', '002252', '002258', '002261', '002286', '002310', '002311', '002327', '002352', '002364', '002385', '002397', '002418', '002423', '002425', '002430', '002434', '002448', '002451', '002469', '002484', '002487', '002492', '002497', '002503', '002518', '002519', '002522', '002545', '002546', '002549', '002580', '002581', '002611', '002613', '002620', '002652', '002658', '002666', '002669', '002676', '002712', '002736', '002753', '002759', '002767', '002780', '002781', '002782', '002786', '002790', '002806', '002812', '002815', '002824', '002828', '002831', '002837', '002842', '002849', '002851', '002852', '002882', '002892', '002897', '002902', '002906', '002915', '002922', '002932', '002933', '002938', '002943', '002977', '002982', '002985', '002999', '003001', '003012', '003015', '003016', '003018', '003019', '003026', '300013', '300014', '300018', '300035', '300036', '300041', '300048', '300052', '300061', '300062', '300063', '300099', '300108', '300109', '300127', '300137', '300139', '300140', '300141', '300149', '300164', '300177', '300178', '300184', '300187', '300188', '300192', '300202', '300203', '300214', '300223', '300235', '300244', '300252', '300259', '300269', '300272', '300287', '300317', '300321', '300330', '300333', '300334', '300354', '300358', '300388', '300391', '300394', '300405', '300409', '300411', '300414', '300417', '300456', '300474', '300477', '300484', '300486', '300493', '300499', '300500', '300502', '300506', '300533', '300548', '300556', '300568', '300571', '300572', '300576', '300587', '300589', '300593', '300598', '300604', '300615', '300617', '300621', '300623', '300627', '300643', '300649', '300666', '300672', '300674', '300678', '300681', '300688', '300693', '300694', '300699', '300709', '300716', '300733', '300745', '300746', '300747', '300757', '300761', '300763', '300770', '300772', '300779', '300780', '300790', '300805', '300807', '300818', '300822', '300825', '300828', '300832', '300840', '300845', '300867', '300872', '300880', '300884', '300890', '300891', '300897', '300899', '300900', '300902', '300903', '300905', '300906', '300907', '300916', '600105', '600131', '600163', '600183', '600186', '600241', '600336', '600410', '600420', '600460', '600538', '600570', '600589', '600603', '600617', '600661', '600674', '600721', '600739', '600744', '600758', '600781', '600821', '600856', '600885', '600909', '600933', '600959', '600973', '601012', '601058', '601137', '601162', '601198', '601311', '601366', '601368', '601615', '601619', '601678', '601696', '601778', '601828', '601919', '601969', '603005', '603011', '603012', '603016', '603020', '603022', '603030', '603036', '603042', '603050', '603059', '603083', '603086', '603087', '603090', '603105', '603127', '603129', '603133', '603136', '603138', '603160', '603181', '603183', '603229', '603233', '603269', '603278', '603301', '603318', '603321', '603323', '603337', '603392', '603489', '603508', '603518', '603520', '603536', '603568', '603590', '603596', '603598', '603601', '603608', '603615', '603617', '603618', '603639', '603657', '603660', '603667', '603678', '603685', '603688', '603699', '603726', '603738', '603810', '603819', '603822', '603856', '603877', '603881', '603895', '603912', '603928', '603959', '605007', '605008', '688007', '688015', '688019', '688020', '688026', '688080', '688089', '688090', '688100', '688123', '688133', '688135', '688159', '688169', '688208', '688219', '688221', '688222', '688289', '688378', '688386', '688388', '688390', '688396', '688488', '688508', '688516', '688519', '688550', '688567', '688596', '689009']"
拟增持,"['601366', '600476', '605009', '002341', '300530', '002795', '002187', '603890', '601919', '002168', '600983', '300436', '688109', '688180', '000753', '300067', '300478', '000597', '300185', '300401', '002931', '000976', '603128', '300529', '600282', '002408', '300721', '300225', '002999', '600572', '603328', '000576']"
持续增长,"['000001', '000002', '000028', '002025', '002142', '002179', '002223', '002262', '002415', '002439', '002475', '300015', '600000', '600036', '600039', '600048', '600276', '600285', '600323', '600513', '600519', '600612', '600763', '600820', '600887', '601000', '601009', '601166', '601186', '601288', '601318', '601328', '601398', '601668', '601799', '601818', '601888', '601998']"
摘帽,"['000017', '000408', '000409', '000422', '000504', '000536', '000572', '000595', '000663', '000679', '000727', '000737', '000792', '000803', '000837', '000868', '000890', '000927', '000953', '000982', '000995', '002077', '002121', '002168', '002176', '002192', '002210', '002247', '002255', '002256', '002280', '002289', '002290', '002306', '002319', '002333', '002336', '002354', '002418', '002420', '002426', '002445', '002502', '002513', '002529', '002638', '002650', '002681', '002716', '600080', '600119', '600149', '600157', '600179', '600193', '600212', '600215', '600228', '600234', '600238', '600243', '600255', '600280', '600354', '600358', '600399', '600416', '600421', '600423', '600470', '600530', '600539', '600610', '600651', '600696', '600698', '600702', '600725', '600767', '600815', '600817', '600821', '600836', '600860', '600877', '600892', '601258', '601399', '601777', '603188', '603389', '603779']"
操作系统,"['000066', '000851', '000938', '000977', '002104', '002122', '002177', '002183', '002232', '002261', '002268', '002280', '002405', '002465', '002474', '002512', '002527', '002912', '300083', '300113', '300183', '300232', '300245', '300264', '300302', '300339', '300352', '300353', '300366', '300369', '300386', '300479', '300496', '300557', '300578', '300598', '300675', '300768', '600035', '600100', '600130', '600355', '600536', '600734', '600797', '600898', '601360', '603019', '603025', '603106', '603189', '603496', '688036', '688168', '688256', '688418']"
