,v3_strength,mv13_ratio,bsp,zig,peak,p_pos,valley,p_v_value,v_pos,z_pos,dw_pct_prev,up_pct_prev,z_pct_prev,z_len_prev,z_pct_prev_avg,up_pct_avg,up_pct_avg_k,dw_pct_avg,dw_pct_avg_k,zig_pct_curr,zig_pct_curr_avg_k,zig_pct_avg,zig_pct_avg_k
3572,1.5255833882040117,1.5565775777726143,3.839,0,3828.0,17,3760.0,3760.0,7,7,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.5319148936170137,0.06648936170212671,1.2261912863070539,0.07201704003813154
3573,0.8284631566663506,1.554753229339956,0.604,0,3828.0,18,3760.0,3760.0,8,8,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.2925531914893531,0.03250591016548368,1.2261912863070539,0.07201704003813154
3574,1.3858219340858688,1.5588397519498125,0.902,0,3828.0,19,3760.0,3760.0,9,9,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.9308510638297962,0.09308510638297962,1.2261912863070539,0.07201704003813154
3575,5.294170408210605,1.7797832130072193,2.962,0,3828.0,20,3760.0,3760.0,10,10,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,1.7021276595744705,0.1547388781431337,1.2261912863070539,0.07201704003813154
3576,1.8993660380377175,1.7830041910083823,3.458,0,3828.0,21,3760.0,3760.0,11,11,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,1.7021276595744705,0.14184397163120588,1.2261912863070539,0.07201704003813154
3577,2.074191960883922,1.6899266284668222,1.086,0,3828.0,22,3760.0,3760.0,12,12,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,1.46276595744681,0.11252045826513922,1.2261912863070539,0.07201704003813154
3578,1.8524082659838126,1.6936600328845317,0.961,0,3828.0,23,3760.0,3760.0,13,13,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,1.3563829787234027,0.09688449848024305,1.2261912863070539,0.07201704003813154
3579,1.3642815040019853,1.7033582215713303,0.683,0,3828.0,24,3760.0,3760.0,14,14,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,1.7021276595744705,0.1134751773049647,1.2261912863070539,0.07201704003813154
3580,0.9941641928163831,1.634979087543868,0.5,1,3827.0,0,3760.0,3827.0,15,0,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.0,0.0,-1.2868954166666668,0.07201704003813154
3581,0.8129609153406085,1.5956728816829986,0.423,0,3827.0,1,3760.0,3827.0,16,1,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.052260256075253864,-0.026130128037626932,-1.2868954166666668,0.07201704003813154
3582,0.7965307785875231,1.5720149923110207,1.375,0,3827.0,2,3760.0,3827.0,17,2,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.052260256075253864,-0.017420085358417953,-1.2868954166666668,0.07201704003813154
3583,0.8833069039649809,1.5613165409400482,0.454,0,3827.0,3,3760.0,3827.0,18,3,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.18291089626338852,-0.04572772406584713,-1.2868954166666668,0.07201704003813154
3584,0.3690101701126958,1.4792564467133211,0.641,0,3827.0,4,3760.0,3827.0,19,4,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.1567807682257616,-0.03135615364515232,-1.2868954166666668,0.07201704003813154
